Idx 89; By LR; LR Iter8 %: 0.22; BT Iter1 %: 0.06; LR Acc: 46.07 | BT Acc: 59.42 | LM Acc: 90.62 | TT Acc: 84.27
Idx 90; By LR; LR Iter8 %: 0.23; BT Iter1 %: 0.06; LR Acc: 46.67 | BT Acc: 59.42 | LM Acc: 90.62 | TT Acc: 84.44
Idx 91; By LM; LR Iter8 %: 0.23; BT Iter2 %: 0.05; LR Acc: 47.25 | BT Acc: 58.57 | LM Acc: 90.77 | TT Acc: 84.62
Idx 92; By LR; LR Iter8 %: 0.24; BT Iter2 %: 0.05; LR Acc: 47.83 | BT Acc: 58.57 | LM Acc: 90.77 | TT Acc: 84.78
Idx 93; By LR; LR Iter8 %: 0.25; BT Iter2 %: 0.05; LR Acc: 47.31 | BT Acc: 58.57 | LM Acc: 90.77 | TT Acc: 83.87
Idx 94; By LR; LR Iter8 %: 0.26; BT Iter2 %: 0.05; LR Acc: 47.87 | BT Acc: 58.57 | LM Acc: 90.77 | TT Acc: 84.04
Idx 95; By LM; LR Iter8 %: 0.25; BT Iter2 %: 0.05; LR Acc: 48.42 | BT Acc: 59.15 | LM Acc: 90.91 | TT Acc: 84.21
Idx 96; By LR; LR Iter8 %: 0.26; BT Iter2 %: 0.05; LR Acc: 48.96 | BT Acc: 59.15 | LM Acc: 90.91 | TT Acc: 84.38
Idx 97; By LR; LR Iter8 %: 0.27; BT Iter2 %: 0.05; LR Acc: 49.48 | BT Acc: 59.15 | LM Acc: 90.91 | TT Acc: 84.54
Idx 98; By LR; LR Iter8 %: 0.28; BT Iter2 %: 0.05; LR Acc: 48.98 | BT Acc: 59.15 | LM Acc: 90.91 | TT Acc: 83.67
Idx 99; By LM; LR Iter8 %: 0.27; BT Iter2 %: 0.05; LR Acc: 48.48 | BT Acc: 58.33 | LM Acc: 91.04 | TT Acc: 83.84
Idx 100; By LR; LR Iter8 %: 0.28; BT Iter2 %: 0.05; LR Acc: 49.00 | BT Acc: 58.33 | LM Acc: 91.04 | TT Acc: 84.00
Idx 101; By LR; LR Iter8 %: 0.29; BT Iter2 %: 0.05; LR Acc: 49.50 | BT Acc: 58.33 | LM Acc: 91.04 | TT Acc: 84.16
Idx 102; By LR; LR Iter8 %: 0.29; BT Iter2 %: 0.05; LR Acc: 50.00 | BT Acc: 58.33 | LM Acc: 91.04 | TT Acc: 84.31
Idx 103; By BT; LR Iter8 %: 0.29; BT Iter2 %: 0.06; LR Acc: 49.51 | BT Acc: 57.53 | LM Acc: 91.04 | TT Acc: 83.50
Idx 104; By LR; LR Iter8 %: 0.30; BT Iter2 %: 0.06; LR Acc: 50.00 | BT Acc: 57.53 | LM Acc: 91.04 | TT Acc: 83.65
Idx 105; By LM; LR Iter8 %: 0.30; BT Iter2 %: 0.06; LR Acc: 49.52 | BT Acc: 56.76 | LM Acc: 91.18 | TT Acc: 83.81
Idx 106; By LR; LR Iter8 %: 0.30; BT Iter2 %: 0.06; LR Acc: 50.00 | BT Acc: 56.76 | LM Acc: 91.18 | TT Acc: 83.96
Idx 107; By LM; LR Iter8 %: 0.30; BT Iter2 %: 0.06; LR Acc: 49.53 | BT Acc: 56.00 | LM Acc: 91.30 | TT Acc: 84.11
Idx 108; By LM; LR Iter8 %: 0.30; BT Iter2 %: 0.06; LR Acc: 50.00 | BT Acc: 56.58 | LM Acc: 91.43 | TT Acc: 84.26
Idx 109; By LM; LR Iter8 %: 0.29; BT Iter2 %: 0.06; LR Acc: 50.46 | BT Acc: 55.84 | LM Acc: 91.55 | TT Acc: 84.40
Idx 110; By LR; LR Iter8 %: 0.30; BT Iter2 %: 0.05; LR Acc: 50.91 | BT Acc: 55.84 | LM Acc: 91.55 | TT Acc: 84.55
Idx 111; By LR; LR Iter8 %: 0.31; BT Iter2 %: 0.05; LR Acc: 51.35 | BT Acc: 55.84 | LM Acc: 91.55 | TT Acc: 84.68
Idx 112; By LM; LR Iter8 %: 0.30; BT Iter2 %: 0.05; LR Acc: 50.89 | BT Acc: 55.13 | LM Acc: 91.67 | TT Acc: 84.82
Idx 113; By BT; LR Iter9 %: 0.30; BT Iter2 %: 0.06; LR Acc: 51.33 | BT Acc: 55.70 | LM Acc: 91.67 | TT Acc: 84.96
Idx 114; By LM; LR Iter9 %: 0.30; BT Iter2 %: 0.06; LR Acc: 50.88 | BT Acc: 55.00 | LM Acc: 91.78 | TT Acc: 85.09
Idx 115; By LM; LR Iter9 %: 0.30; BT Iter2 %: 0.06; LR Acc: 50.43 | BT Acc: 54.32 | LM Acc: 91.89 | TT Acc: 85.22
Idx 116; By LR; LR Iter9 %: 0.30; BT Iter2 %: 0.06; LR Acc: 50.86 | BT Acc: 54.32 | LM Acc: 91.89 | TT Acc: 85.34
Idx 117; By LM; LR Iter9 %: 0.30; BT Iter2 %: 0.06; LR Acc: 51.28 | BT Acc: 53.66 | LM Acc: 92.00 | TT Acc: 85.47
Idx 118; By BT; LR Iter9 %: 0.30; BT Iter2 %: 0.07; LR Acc: 51.69 | BT Acc: 54.22 | LM Acc: 92.00 | TT Acc: 85.59
Idx 119; By BT; LR Iter9 %: 0.29; BT Iter2 %: 0.08; LR Acc: 52.10 | BT Acc: 54.76 | LM Acc: 92.00 | TT Acc: 85.71
Idx 120; By LM; LR Iter9 %: 0.29; BT Iter2 %: 0.07; LR Acc: 52.50 | BT Acc: 55.29 | LM Acc: 92.11 | TT Acc: 85.83
Idx 121; By LR; LR Iter9 %: 0.30; BT Iter2 %: 0.07; LR Acc: 52.07 | BT Acc: 55.29 | LM Acc: 92.11 | TT Acc: 85.12
Idx 122; By LR; LR Iter9 %: 0.30; BT Iter2 %: 0.07; LR Acc: 52.46 | BT Acc: 55.29 | LM Acc: 92.11 | TT Acc: 85.25
Idx 123; By LM; LR Iter9 %: 0.30; BT Iter2 %: 0.07; LR Acc: 52.85 | BT Acc: 55.81 | LM Acc: 92.21 | TT Acc: 85.37
Idx 124; By LM; LR Iter9 %: 0.30; BT Iter2 %: 0.07; LR Acc: 52.42 | BT Acc: 55.17 | LM Acc: 92.31 | TT Acc: 85.48
Idx 125; By BT; LR Iter9 %: 0.30; BT Iter2 %: 0.08; LR Acc: 52.00 | BT Acc: 54.55 | LM Acc: 92.31 | TT Acc: 84.80
Idx 126; By LR; LR Iter9 %: 0.30; BT Iter2 %: 0.08; LR Acc: 52.38 | BT Acc: 54.55 | LM Acc: 92.31 | TT Acc: 84.92
Idx 127; By BT; LR Iter9 %: 0.30; BT Iter2 %: 0.09; LR Acc: 52.76 | BT Acc: 53.93 | LM Acc: 92.31 | TT Acc: 84.25
Idx 128; By LR; LR Iter9 %: 0.30; BT Iter2 %: 0.09; LR Acc: 53.12 | BT Acc: 53.93 | LM Acc: 92.31 | TT Acc: 84.38
Idx 129; By BT; LR Iter9 %: 0.30; BT Iter2 %: 0.09; LR Acc: 53.49 | BT Acc: 53.33 | LM Acc: 92.31 | TT Acc: 83.72
Idx 130; By BT; LR Iter9 %: 0.30; BT Iter2 %: 0.10; LR Acc: 53.85 | BT Acc: 53.85 | LM Acc: 92.31 | TT Acc: 83.85
